t11,t12,t13,t14,t15,t21,t22,t23,t24,t25
Fizz,Kindred,Vladimir,Jhin,Braum,Ekko,RekSai,Swain,Ezreal,Bard
Maokai,Kindred,Karma,Jhin,Nami,Ekko,Elise,Varus,Ezreal,Braum
Fizz,Graves,Azir,Lucian,Alistar,Swain,Kindred,Viktor,Ezreal,Braum
Ekko,RekSai,Karma,Ashe,Nami,Fiora,Elise,Viktor,Ezreal,Braum
Ekko,Kindred,TwistedFate,Sivir,Braum,Maokai,RekSai,Viktor,Caitlyn,Bard
Trundle,RekSai,Azir,Ezreal,Braum,Fizz,Gragas,Viktor,Lucian,Karma
Trundle,Elise,Vladimir,Ezreal,Bard,Swain,RekSai,Lulu,Jhin,Nami
Ekko,Gragas,Azir,Ezreal,Braum,Fizz,RekSai,Viktor,Lucian,Trundle
Trundle,Gragas,Ryze,Ezreal,Morgana,Ekko,Graves,Vladimir,Ashe,Braum
Ekko,Graves,Azir,Caitlyn,Morgana,Maokai,RekSai,Vladimir,Sivir,Karma
Trundle,RekSai,Anivia,Sivir,Braum,Gnar,Gragas,Vladimir,Jhin,Thresh
Irelia,Graves,Vladimir,Caitlyn,Karma,Maokai,RekSai,Swain,Ezreal,Nami
Renekton,Elise,Karma,Sivir,Bard,Irelia,RekSai,AurelionSol,Jhin,Nami
Gnar,Elise,Azir,Jhin,Alistar,Trundle,Gragas,Ryze,Ezreal,Nami
Maokai,Hecarim,Azir,Sivir,Taric,Fizz,Kindred,Leblanc,Jhin,Trundle
Trundle,Graves,Anivia,Sivir,Bard,Rumble,RekSai,Vladimir,Jhin,Braum
Shen,RekSai,TwistedFate,Sivir,Nami,Irelia,Elise,Viktor,Ashe,Thresh
Trundle,Graves,Lissandra,Ezreal,Thresh,Fiora,Elise,Leblanc,Ashe,Nami
Swain,Graves,Vladimir,Ezreal,Braum,Fizz,RekSai,TwistedFate,Sivir,Karma
Irelia,RekSai,Azir,Lucian,Braum,Swain,Graves,Vladimir,Ezreal,Karma
Ekko,Graves,Viktor,Ashe,Braum,Maokai,Kindred,Leblanc,Jhin,Trundle
Maokai,Graves,Vladimir,Lucian,Braum,Jax,Kindred,Swain,Caitlyn,Alistar
Maokai,Kindred,Azir,Ashe,Zyra,Fizz,Elise,Varus,Caitlyn,Alistar
Fiora,Elise,Vladimir,Sivir,Karma,Trundle,RekSai,Kassadin,Lucian,Braum
Maokai,Gragas,Viktor,Sivir,Karma,Fizz,RekSai,Swain,Ashe,Braum
Illaoi,Nidalee,Ziggs,Vayne,Karma,Maokai,Graves,Anivia,Sivir,Braum
Maokai,RekSai,Viktor,Ashe,Nami,Hecarim,Gragas,Kassadin,Ezreal,Karma
Maokai,Nidalee,Viktor,Lucian,Karma,Trundle,RekSai,Azir,Sivir,Bard
Irelia,Elise,Varus,Sivir,Zyra,Maokai,Kindred,Azir,Caitlyn,Karma
Irelia,RekSai,Azir,Caitlyn,Zyra,Maokai,Olaf,Viktor,Sivir,Bard
Rumble,LeeSin,Ryze,Ashe,Karma,Gnar,Elise,Vladimir,Lucian,Nami
Fizz,RekSai,Viktor,Lucian,Karma,Trundle,Nidalee,Zilean,Ashe,Braum
Swain,RekSai,Azir,Lucian,Bard,Fizz,Kindred,Zilean,Ashe,Karma
Irelia,RekSai,Karma,Lucian,Braum,Hecarim,Nidalee,Leblanc,Jhin,Trundle
Maokai,RekSai,Leblanc,Sivir,Karma,Ekko,Graves,Viktor,Lucian,Braum
Trundle,Elise,Vladimir,Ashe,Karma,Fiora,RekSai,Ryze,Sivir,Nami
Maokai,RekSai,TwistedFate,Ezreal,Karma,Ekko,Graves,Azir,Twitch,Braum
Shen,Kindred,Vladimir,Jhin,Braum,Malzahar,Graves,Karma,Sivir,Bard
Ekko,Kindred,TwistedFate,Sivir,Nami,Rumble,Graves,Karma,Jhin,Braum
Maokai,Kindred,Leblanc,Ezreal,Karma,Nautilus,Nidalee,Azir,Lucian,Braum
