wei1,name1,wei2,name2,lift
上,Vladimir,辅,Galio,4.0274649821477615
辅,Galio,上,Vladimir,4.0274649821477615
上,Volibear,野,Nidalee,4.5247347738885
野,Nidalee,上,Volibear,4.524734773888501
下,Aphelios,上,Volibear,4.198436461219677
上,Volibear,下,Aphelios,4.198436461219677
上,Volibear,辅,Leona,4.128343158415588
辅,Leona,上,Volibear,4.128343158415588
中,Lissandra,上,Yorick,5.9185329304135434
上,Yorick,中,Lissandra,5.9185329304135434
辅,Galio,上,Yorick,8.511243730745763
上,Yorick,辅,Galio,8.511243730745761
中,Galio,野,Camille,4.2727272727272725
野,Camille,中,Galio,4.2727272727272725
辅,Morgana,野,Camille,3.7224178962398855
野,Camille,辅,Morgana,3.722417896239885
野,Camille,辅,Shen,8.119236812570145
辅,Shen,野,Camille,8.119236812570145
中,Pantheon,野,Ekko,22.737905369484317
野,Ekko,中,Pantheon,22.73790536948432
中,Sett,野,Ekko,34.284036537625056
野,Ekko,中,Sett,34.284036537625056
下,Aphelios,野,Ekko,3.4184009464476164
野,Ekko,下,Aphelios,3.418400946447617
中,Pantheon,野,Elise,3.519216671902816
野,Elise,中,Pantheon,3.5192166719028166
中,Zed,野,Elise,3.1731712477639493
野,Elise,中,Zed,3.1731712477639498
野,Gragas,中,Tristana,3.78767919411081
中,Tristana,野,Gragas,3.78767919411081
野,Gragas,中,Yasuo,4.679895609741032
中,Yasuo,野,Gragas,4.679895609741031
野,Graves,中,Ahri,3.3726314055033777
中,Ahri,野,Graves,3.3726314055033777
下,Sivir,野,Hecarim,3.8510425967750406
野,Hecarim,下,Sivir,3.8510425967750406
野,Ivern,下,Caitlyn,3.998871586549311
下,Caitlyn,野,Ivern,3.9988715865493107
野,Ivern,辅,Karma,3.2667772861356927
辅,Karma,野,Ivern,3.266777286135693
野,Ivern,辅,Malzahar,6.612554112554113
辅,Malzahar,野,Ivern,6.612554112554112
野,Ivern,辅,Zyra,4.00733024691358
辅,Zyra,野,Ivern,4.007330246913581
中,Rumble,野,JarvanIV,3.5453133048979004
野,JarvanIV,中,Rumble,3.545313304897901
野,Khazix,中,Ahri,3.032564313436927
中,Ahri,野,Khazix,3.0325643134369273
辅,Malzahar,野,Khazix,4.564351447984371
野,Khazix,辅,Malzahar,4.564351447984371
辅,MissFortune,野,Khazix,3.9597383397128216
野,Khazix,辅,MissFortune,3.9597383397128216
辅,Zyra,野,Khazix,3.671694873681628
野,Khazix,辅,Zyra,3.6716948736816284
野,Kindred,辅,Shen,4.013351182507809
辅,Shen,野,Kindred,4.013351182507809
下,Tristana,野,Maokai,6.666880616174582
野,Maokai,下,Tristana,6.666880616174582
野,Nidalee,中,Sett,7.78142472561607
中,Sett,野,Nidalee,7.781424725616071
野,Nocturne,中,Lissandra,3.841946940438993
中,Lissandra,野,Nocturne,3.8419469404389925
野,Nocturne,辅,Shen,6.522350526045676
辅,Shen,野,Nocturne,6.522350526045676
野,Rengar,中,Ahri,5.100895260064811
中,Ahri,野,Rengar,5.100895260064811
野,Rengar,辅,Karma,3.1124786197664904
辅,Karma,野,Rengar,3.1124786197664904
野,Rengar,辅,Lulu,4.2243332115454875
辅,Lulu,野,Rengar,4.2243332115454875
辅,Malzahar,野,Rengar,3.3531126736408847
野,Rengar,辅,Malzahar,3.3531126736408847
辅,Nami,野,Rengar,5.125169054963758
野,Rengar,辅,Nami,5.125169054963758
辅,Zyra,野,Rengar,3.5655929038281986
野,Rengar,辅,Zyra,3.5655929038281986
野,Sejuani,中,Irelia,4.049519196523969
中,Irelia,野,Sejuani,4.049519196523969
中,Yasuo,野,Sejuani,3.03816847999433
野,Sejuani,中,Yasuo,3.0381684799943294
野,Sett,中,Azir,3.3343872490633863
中,Azir,野,Sett,3.3343872490633863
下,Aphelios,野,Sett,3.220862203230766
野,Sett,下,Aphelios,3.220862203230766
野,Sett,辅,Bard,3.985798012401257
辅,Bard,野,Sett,3.985798012401257
辅,Yuumi,野,Sylas,4.051157877630617
野,Sylas,辅,Yuumi,4.051157877630617
下,Swain,野,Trundle,4.470459118346444
野,Trundle,下,Swain,4.470459118346443
野,Volibear,中,TwistedFate,6.749732278730719
中,TwistedFate,野,Volibear,6.749732278730719
野,Volibear,辅,Bard,4.062258246550044
辅,Bard,野,Volibear,4.062258246550044
野,Volibear,辅,Leona,3.3421247906375218
辅,Leona,野,Volibear,3.3421247906375218
中,Akali,野,XinZhao,3.0061780738946093
野,XinZhao,中,Akali,3.0061780738946093
下,Tristana,野,Zac,3.2157894736842105
野,Zac,下,Tristana,3.215789473684211
辅,Karma,中,Ahri,3.127624501127884
中,Ahri,辅,Karma,3.1276245011278845
辅,Lulu,中,Ahri,4.888320545609548
中,Ahri,辅,Lulu,4.888320545609548
中,Irelia,辅,Lux,3.6510961115757934
辅,Lux,中,Irelia,3.651096111575794
中,Karma,下,KogMaw,3.014584562672504
下,KogMaw,中,Karma,3.014584562672504
下,Vayne,中,Lissandra,4.82863991991781
中,Lissandra,下,Vayne,4.82863991991781
辅,Galio,中,Lissandra,3.3040442763208
中,Lissandra,辅,Galio,3.3040442763208
中,Lucian,下,KogMaw,4.773955507325013
下,KogMaw,中,Lucian,4.773955507325012
下,Tristana,中,Lucian,3.066603364080304
中,Lucian,下,Tristana,3.066603364080304
中,Neeko,辅,Lux,6.725937024607647
辅,Lux,中,Neeko,6.725937024607647
下,MissFortune,中,Rumble,4.5436399217221135
中,Rumble,下,MissFortune,4.5436399217221135
辅,Leona,中,Rumble,3.688304272458448
中,Rumble,辅,Leona,3.688304272458448
辅,Bard,中,TwistedFate,3.0564717680486875
中,TwistedFate,辅,Bard,3.056471768048688
中,Viktor,辅,Nami,3.0343040673666026
辅,Nami,中,Viktor,3.0343040673666026
下,Aphelios,辅,Nautilus,3.1457185745186123
辅,Nautilus,下,Aphelios,3.1457185745186123
下,Caitlyn,辅,Lux,4.681288599388396
辅,Lux,下,Caitlyn,4.681288599388395
辅,Morgana,下,Caitlyn,3.5866391121099435
下,Caitlyn,辅,Morgana,3.5866391121099435
辅,Yuumi,下,Ezreal,3.422817235004432
下,Ezreal,辅,Yuumi,3.4228172350044317
下,Jhin,辅,Malzahar,3.9651205936920224
辅,Malzahar,下,Jhin,3.9651205936920224
下,Jhin,辅,MissFortune,4.6513761467889925
辅,MissFortune,下,Jhin,4.651376146788992
下,Jhin,辅,Trundle,3.466666666666667
辅,Trundle,下,Jhin,3.4666666666666672
下,Jhin,辅,Zyra,3.4125
辅,Zyra,下,Jhin,3.4125
下,Jinx,辅,TahmKench,3.332722654209182
辅,TahmKench,下,Jinx,3.3327226542091823
辅,Galio,下,Kaisa,3.538306900667622
下,Kaisa,辅,Galio,3.538306900667622
辅,Gragas,下,Kaisa,3.6554145287604647
下,Kaisa,辅,Gragas,3.6554145287604647
辅,Volibear,下,Kaisa,5.630671077504726
下,Kaisa,辅,Volibear,5.630671077504726
辅,Blitzcrank,下,Kalista,3.011048406327001
下,Kalista,辅,Blitzcrank,3.011048406327001
辅,Sett,下,Kalista,3.35777519251011
下,Kalista,辅,Sett,3.3577751925101103
下,Kalista,辅,Taric,4.860799164272655
辅,Taric,下,Kalista,4.860799164272655
辅,Janna,下,KogMaw,7.728199002178344
下,KogMaw,辅,Janna,7.728199002178344
辅,Lulu,下,KogMaw,5.863092513893427
下,KogMaw,辅,Lulu,5.863092513893428
辅,Trundle,下,Lucian,3.048072562358277
下,Lucian,辅,Trundle,3.0480725623582767
辅,Yuumi,下,Lucian,3.2414126355832007
下,Lucian,辅,Yuumi,3.241412635583201
